Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
0, 0.000941, 3375.254, 361.171, 27178, -6413, 00000000, 90.19999999999999
1, 0.061622, 2655.254, -2517.700, 27178, -6413, 00000000, 90.19999999999999
2, 0.092860, 1935.254, -1796.576, 27178, -6413, 00000000, 90.19999999999999
3, 0.124117, 1215.254, -1075.452, 27178, -6413, 00000000, 90.19999999999999
4, 0.155298, 495.254, -354.361, 27178, -6413, 00000000, 90.19999999999999
5, 0.186571, 135.037, 6.763, 27177, -6412, 00000000, 90.19999999999999
6, 0.217835, 134.712, 7.889, 27175, -6411, 00000000, 90.19999999999999
7, 0.249039, 133.628, 9.015, 27170, -6406, 00000000, 90.19999999999999
8, 0.280336, 132.219, 10.138, 27164, -6399, 00000000, 90.19999999999999
9, 0.311541, 130.377, 11.264, 27155, -6391, 00000000, 90.19999999999999
10, 0.342777, 128.534, 12.389, 27147, -6382, 00000000, 30.87315798401501
11, 0.374050, 126.800, 13.515, 27139, -6374, 00000000, 30.87315798401501
12, 0.405285, 124.957, 14.640, 27131, -6365, 00000000, 30.87315798401501
13, 0.436544, 123.223, 15.765, 27123, -6357, 00000000, 30.87315798401501
14, 0.467819, 121.489, 16.889, 27115, -6349, 00000000, 30.87315798401501
15, 0.499036, 119.646, 18.014, 27106, -6341, 00000000, 30.87315798401501
16, 0.530290, 118.020, 19.137, 27099, -6333, 00000000, 30.87315798401501
17, 0.561534, 116.286, 20.264, 27091, -6325, 00000000, 30.87315798401501
18, 0.592819, 114.552, 21.390, 27083, -6317, 00000000, 30.87315798401501
19, 0.624035, 112.926, 22.512, 27075, -6310, 00000000, 30.87315798401501
20, 0.655309, 111.083, 23.638, 27067, -6301, 00000000, 30.87315798401501
21, 0.686646, 109.457, 24.766, 27059, -6294, 00000000, 30.87315798401501
22, 0.717814, 107.615, 25.889, 27050, -6286, 00000000, 30.87315798401501
23, 0.749128, 105.989, 27.017, 27043, -6278, 00000000, 30.87315798401501
24, 0.780268, 104.255, 28.137, 27035, -6270, 00000000, 30.87315798401501
25, 0.811661, 102.629, 29.267, 27027, -6263, 00000000, 30.87315798401501
26, 0.842782, 100.678, 30.388, 27018, -6254, 00000000, 30.87315798401501
27, 0.874020, 98.943, 31.512, 27010, -6246, 00000000, 30.87315798401501
28, 0.905370, 97.209, 32.642, 27002, -6238, 00000000, 30.87315798401501
29, 0.936542, 95.367, 33.763, 26993, -6230, 00000000, 30.87315798401501
30, 0.967785, 93.632, 34.888, 26985, -6222, 00000000, 30.87315798401501
31, 0.999043, 91.898, 36.013, 26977, -6214, 00000000, 30.87315798401501
32, 1.030237, 90.164, 37.135, 26969, -6206, 00000000, 30.87315798401501
33, 1.061610, 88.430, 38.264, 26961, -6198, 00000000, 30.87315798401501
34, 1.092863, 86.587, 39.389, 26953, -6189, 00000000, 30.87315798401501
35, 1.123985, 84.961, 40.509, 26946, -6181, 00000000, 30.87315798401501
36, 1.155360, 83.335, 41.639, 26938, -6174, 00000000, 30.87315798401501
37, 1.186529, 81.493, 42.761, 26930, -6165, 00000000, 30.87315798401501
38, 1.217758, 79.758, 43.887, 26922, -6157, 00000000, 30.87315798401501
39, 1.249011, 78.024, 45.011, 26914, -6149, 00000000, 30.87315798401501
40, 1.280212, 76.290, 46.134, 26906, -6141, 00000000, 30.87315798401501
41, 1.311631, 74.556, 47.264, 26898, -6133, 00000000, 30.87315798401501
42, 1.342780, 72.821, 48.386, 26890, -6125, 00000000, 30.87315798401501
43, 1.373985, 71.087, 49.509, 26882, -6117, 00000000, 30.87315798401501
44, 1.405265, 69.353, 50.636, 26874, -6109, 00000000, 30.87315798401501
45, 1.436612, 67.619, 51.764, 26866, -6101, 00000000, 30.87315798401501
46, 1.467748, 65.884, 52.886, 26858, -6093, 00000000, 30.87315798401501
47, 1.498990, 64.150, 54.011, 26850, -6085, 00000000, 30.87315798401501
48, 1.530209, 62.416, 55.134, 26842, -6077, 00000000, 30.87315798401501
49, 1.561531, 60.682, 56.261, 26834, -6069, 00000000, 30.87315798401501
50, 1.592736, 58.947, 57.386, 26826, -6061, 00000000, 30.87315798401501
51, 1.623976, 57.105, 58.509, 26818, -6052, 00000000, 30.87315798401501
52, 1.655320, 55.479, 59.638, 26810, -6045, 00000000, 30.87315798401501
