Data Counter, Data Time, Angle, Counter, Left Encoder Counts, Right Encoder Counts, Bumper Byte, Desired Heading
0, 0.029680, 120.000, 1.150, 3941, -3871, 00000000, 120.0
1, 0.060847, 120.000, 2.272, 3941, -3871, 00000000, 120.0
2, 0.091969, 120.000, 3.393, 3941, -3871, 00000000, 120.0
3, 0.123426, 120.000, 4.524, 3941, -3871, 00000000, 120.0
4, 0.154567, 120.000, 5.644, 3941, -3871, 00000000, 120.0
5, 0.185631, 120.000, 6.765, 3941, -3871, 00000000, 120.0
6, 0.217027, 120.000, 7.895, 3941, -3871, 00000000, 120.0
7, 0.248116, 120.000, 9.015, 3941, -3871, 00000000, 120.0
8, 0.279547, 120.000, 10.146, 3941, -3871, 00000000, 120.0
9, 0.310831, 120.000, 11.270, 3941, -3871, 00000000, 120.0
10, 0.341876, 120.000, 12.389, 3941, -3871, 00000000, 120.0
11, 0.373254, 120.000, 13.518, 3941, -3871, 00000000, 120.0
12, 0.404422, 120.000, 14.640, 3941, -3871, 00000000, 120.0
13, 0.435746, 120.000, 15.767, 3941, -3871, 00000000, 120.0
14, 0.467063, 120.000, 16.894, 3941, -3871, 00000000, 120.0
15, 0.498011, 120.000, 18.013, 3941, -3871, 00000000, 120.0
16, 0.529377, 120.000, 19.140, 3941, -3871, 00000000, 120.0
17, 0.560686, 120.000, 20.267, 3941, -3871, 00000000, 120.0
18, 0.591663, 120.000, 21.380, 3941, -3871, 00000000, 120.0
19, 0.623140, 120.000, 22.513, 3941, -3871, 00000000, 120.0
20, 0.654197, 120.000, 23.632, 3941, -3871, 00000000, 120.0
21, 0.685482, 120.000, 24.758, 3941, -3871, 00000000, 120.0
22, 0.716753, 120.000, 25.887, 3941, -3871, 00000000, 120.0
23, 0.747871, 120.000, 27.013, 3941, -3871, 00000000, 120.0
24, 0.779264, 120.000, 28.134, 3941, -3871, 00000000, 120.0
25, 0.810487, 120.000, 29.258, 3941, -3871, 00000000, 120.0
26, 0.841680, 120.000, 30.382, 3941, -3871, 00000000, 120.0
27, 0.872955, 120.000, 31.507, 3941, -3871, 00000000, 120.0
28, 0.904088, 120.000, 32.627, 3941, -3871, 00000000, 120.0
29, 0.935453, 120.000, 33.758, 3941, -3871, 00000000, 120.0
30, 0.966626, 120.000, 34.882, 3941, -3871, 00000000, 120.0
31, 0.997691, 120.000, 35.999, 3941, -3871, 00000000, 120.0
32, 1.029174, 120.000, 37.131, 3941, -3871, 00000000, 120.0
33, 1.060127, 120.000, 38.251, 3941, -3871, 00000000, 120.0
