Time Stamp, Total Distance Traveled, Distance to Desired Point, Current Angle, Desired Heading, Left Wheel Encoders, Right Wheel Encoders, Left Wheel Speed, Right Wheel Speed, Y-Position, X-position, Bumper Byte, Light Bumper Byte
0.00001, 0.000, 2061.553, 353.651, 14.036, 4110, -4046, 0, 0, 0.000, 0.000, 00000000, 00000000
0.07143, 0.000, 2061.553, 353.651, 14.036, 4110, -4046, 0, 0, 0.000, 0.000, 00000000, 00000000
0.08280, 0.000, 2061.553, 353.651, 14.036, 4110, -4046, 43, 0, 0.000, 0.000, 00000000, 00000000
0.09860, 0.000, 2061.553, 353.651, 14.036, 4110, -4046, 78, 0, 0.000, 0.000, 00000000, 00000000
0.11411, 0.000, 2061.553, 353.651, 14.036, 4110, -4046, 107, 7, 0.000, 0.000, 00000000, 00000000
0.12999, 0.222, 2061.344, 353.759, 14.038, 4111, -4046, 128, 28, -0.024, 0.221, 00000000, 00000000
0.14544, 0.667, 2060.927, 353.976, 14.043, 4113, -4046, 149, 50, -0.071, 0.663, 00000000, 00000000
0.16106, 1.334, 2060.299, 354.301, 14.049, 4116, -4046, 149, 50, -0.137, 1.327, 00000000, 00000000
0.17683, 2.445, 2059.251, 354.627, 14.059, 4120, -4045, 149, 50, -0.241, 2.433, 00000000, 00000000
0.19228, 3.779, 2057.990, 355.060, 14.071, 4125, -4044, 149, 50, -0.356, 3.762, 00000000, 00000000
0.20805, 5.335, 2056.514, 355.602, 14.085, 4131, -4043, 149, 50, -0.475, 5.313, 00000000, 00000000
0.22368, 7.335, 2054.613, 355.927, 14.102, 4137, -4040, 149, 50, -0.617, 7.309, 00000000, 00000000
0.23905, 9.114, 2052.920, 356.361, 14.118, 4143, -4038, 149, 50, -0.730, 9.083, 00000000, 00000000
0.25493, 10.892, 2051.222, 356.794, 14.132, 4149, -4036, 149, 50, -0.830, 10.859, 00000000, 00000000
0.27036, 12.670, 2049.523, 357.011, 14.147, 4154, -4033, 149, 50, -0.922, 12.635, 00000000, 00000000
0.28599, 14.448, 2047.820, 357.445, 14.161, 4160, -4031, 149, 50, -1.002, 14.411, 00000000, 00000000
0.30159, 16.004, 2046.327, 357.770, 14.174, 4165, -4029, 149, 50, -1.062, 15.966, 00000000, 00000000
0.31738, 17.560, 2044.834, 357.878, 14.186, 4169, -4026, 149, 50, -1.120, 17.521, 00000000, 00000000
0.33299, 19.116, 2043.338, 358.203, 14.198, 4174, -4024, 149, 50, -1.169, 19.076, 00000000, 00000000
0.34862, 20.672, 2041.840, 358.529, 14.210, 4179, -4022, 149, 50, -1.209, 20.632, 00000000, 00000000
0.36422, 22.006, 2040.554, 358.745, 14.220, 4183, -4020, 149, 50, -1.238, 21.965, 00000000, 00000000
0.37983, 23.562, 2039.052, 359.071, 14.231, 4188, -4018, 149, 50, -1.263, 23.521, 00000000, 00000000
0.39546, 24.896, 2037.764, 359.287, 14.241, 4192, -4016, 149, 50, -1.280, 24.854, 00000000, 00000000
0.41107, 26.229, 2036.474, 359.504, 14.250, 4196, -4014, 149, 50, -1.291, 26.188, 00000000, 00000000
0.42678, 27.563, 2035.182, 359.938, 14.259, 4201, -4013, 149, 50, -1.293, 27.522, 00000000, 00000000
0.44238, 28.897, 2033.888, 0.154, 14.269, 4205, -4011, 149, 50, -1.289, 28.855, 00000000, 00000000
0.45800, 30.453, 2032.377, 0.480, 14.279, 4210, -4009, 149, 50, -1.276, 30.411, 00000000, 00000000
0.47361, 32.231, 2030.647, 0.913, 14.291, 4216, -4007, 149, 50, -1.248, 32.189, 00000000, 00000000
0.48938, 33.787, 2029.131, 1.238, 14.301, 4221, -4005, 149, 50, -1.214, 33.745, 00000000, 00000000
0.50500, 35.343, 2027.615, 1.347, 14.310, 4225, -4002, 149, 50, -1.177, 35.301, 00000000, 00000000
0.52045, 36.899, 2026.097, 1.672, 14.320, 4230, -4000, 149, 50, -1.132, 36.856, 00000000, 00000000
0.53608, 38.455, 2024.577, 1.997, 14.329, 4235, -3998, 149, 50, -1.078, 38.411, 00000000, 00000000
0.55169, 40.011, 2023.055, 2.322, 14.339, 4240, -3996, 149, 50, -1.015, 39.966, 00000000, 00000000
0.56731, 41.789, 2021.314, 2.539, 14.349, 4245, -3993, 149, 50, -0.936, 41.742, 00000000, 00000000
0.58307, 43.345, 2019.789, 2.864, 14.358, 4250, -3991, 149, 50, -0.858, 43.296, 00000000, 00000000
0.59854, 45.346, 2017.827, 3.189, 14.369, 4256, -3988, 149, 50, -0.747, 45.294, 00000000, 00000000
0.61430, 46.902, 2016.299, 3.515, 14.377, 4261, -3986, 149, 50, -0.652, 46.847, 00000000, 00000000
0.62978, 48.458, 2014.769, 3.840, 14.385, 4266, -3984, 149, 50, -0.547, 48.399, 00000000, 00000000
0.64554, 50.014, 2013.238, 4.165, 14.393, 4271, -3982, 149, 50, -0.434, 49.951, 00000000, 00000000
0.66101, 51.792, 2011.486, 4.382, 14.402, 4276, -3979, 149, 50, -0.299, 51.724, 00000000, 00000000
0.67662, 53.348, 2009.953, 4.707, 14.409, 4281, -3977, 149, 50, -0.171, 53.275, 00000000, 00000000
0.69240, 54.681, 2008.637, 4.924, 14.416, 4285, -3975, 149, 50, -0.056, 54.604, 00000000, 00000000
0.70785, 56.237, 2007.101, 5.249, 14.423, 4290, -3973, 149, 50, 0.086, 56.153, 00000000, 00000000
0.72362, 57.793, 2005.564, 5.574, 14.429, 4295, -3971, 149, 50, 0.237, 57.702, 00000000, 00000000
0.73923, 59.349, 2004.025, 5.899, 14.436, 4300, -3969, 149, 50, 0.397, 59.249, 00000000, 00000000
0.75488, 60.905, 2002.485, 6.224, 14.442, 4305, -3967, 149, 50, 0.566, 60.796, 00000000, 00000000
0.77046, 62.461, 2000.944, 6.549, 14.449, 4310, -3965, 149, 50, 0.743, 62.342, 00000000, 00000000
0.78609, 64.017, 1999.401, 6.875, 14.454, 4315, -3963, 149, 50, 0.929, 63.887, 00000000, 00000000
0.80169, 65.796, 1997.638, 7.091, 14.461, 4320, -3960, 149, 50, 1.149, 65.651, 00000000, 00000000
0.81732, 67.352, 1996.094, 7.417, 14.466, 4325, -3958, 149, 50, 1.350, 67.194, 00000000, 00000000
0.83302, 68.908, 1994.549, 7.525, 14.472, 4329, -3955, 149, 50, 1.554, 68.737, 00000000, 00000000
