Time Stamp, Total Distance Traveled, Distance to Desired Point, Current Angle, Desired Heading, Left Wheel Encoders, Right Wheel Encoders, Left Wheel Speed, Right Wheel Speed, Y-Position, X-position, Bumper Byte, Light Bumper Byte
0.00001, 0.000, 2061.553, 347.139, 14.036, 4047, -3978, 0, 0, 0.000, 0.000, 00000000, 00000000
0.07074, 0.000, 2061.553, 347.139, 14.036, 4047, -3978, 0, 0, 0.000, 0.000, 00000000, 00000000
0.07724, 0.000, 2061.553, 347.139, 14.036, 4047, -3978, 43, 0, 0.000, 0.000, 00000000, 00000000
0.08432, 0.000, 2061.553, 347.139, 14.036, 4047, -3978, 78, 0, 0.000, 0.000, 00000000, 00000000
0.10091, 0.000, 2061.553, 347.139, 14.036, 4047, -3978, 121, 0, 0.000, 0.000, 00000000, 00000000
0.11654, 0.222, 2061.354, 347.247, 14.039, 4048, -3978, 164, 0, -0.049, 0.217, 00000000, 00000000
0.13196, 0.667, 2060.957, 347.464, 14.045, 4050, -3978, 199, 0, -0.146, 0.651, 00000000, 00000000
0.14764, 1.334, 2060.359, 347.789, 14.053, 4053, -3978, 199, 0, -0.287, 1.303, 00000000, 00000000
0.16325, 2.667, 2059.156, 348.440, 14.069, 4059, -3978, 199, 0, -0.554, 2.609, 00000000, 00000000
0.17888, 4.001, 2057.947, 349.090, 14.084, 4065, -3978, 199, 0, -0.806, 3.919, 00000000, 00000000
0.19458, 5.557, 2056.529, 349.849, 14.102, 4072, -3978, 178, 21, -1.081, 5.450, 00000000, 00000000
0.21019, 7.335, 2054.897, 350.716, 14.122, 4080, -3978, 164, 43, -1.367, 7.205, 00000000, 00000000
0.22580, 8.891, 2053.461, 351.475, 14.139, 4087, -3978, 149, 50, -1.598, 8.744, 00000000, 00000000
0.24142, 10.670, 2051.810, 352.342, 14.157, 4095, -3978, 149, 50, -1.835, 10.507, 00000000, 00000000
0.25703, 12.448, 2050.151, 352.992, 14.175, 4102, -3977, 149, 50, -2.052, 12.271, 00000000, 00000000
0.27265, 14.448, 2048.279, 353.534, 14.195, 4109, -3975, 149, 50, -2.277, 14.259, 00000000, 00000000
0.28840, 16.449, 2046.401, 354.076, 14.214, 4116, -3973, 149, 50, -2.484, 16.249, 00000000, 00000000
0.30388, 18.227, 2044.727, 354.509, 14.231, 4122, -3971, 149, 50, -2.654, 18.019, 00000000, 00000000
0.31964, 20.228, 2042.840, 354.835, 14.249, 4128, -3968, 149, 50, -2.834, 20.012, 00000000, 00000000
0.33513, 21.784, 2041.370, 355.160, 14.264, 4133, -3966, 149, 50, -2.965, 21.562, 00000000, 00000000
0.35087, 23.562, 2039.687, 355.377, 14.280, 4138, -3963, 149, 50, -3.109, 23.335, 00000000, 00000000
0.36650, 25.340, 2038.003, 355.593, 14.296, 4143, -3960, 149, 50, -3.245, 25.108, 00000000, 00000000
0.38196, 27.118, 2036.316, 355.810, 14.312, 4148, -3957, 149, 50, -3.375, 26.881, 00000000, 00000000
0.39758, 28.452, 2035.050, 356.027, 14.324, 4152, -3955, 149, 50, -3.468, 28.212, 00000000, 00000000
0.41320, 30.230, 2033.360, 356.244, 14.339, 4157, -3952, 149, 50, -3.584, 29.986, 00000000, 00000000
0.42881, 31.564, 2032.091, 356.460, 14.351, 4161, -3950, 149, 50, -3.667, 31.317, 00000000, 00000000
0.44441, 33.120, 2030.609, 356.569, 14.364, 4165, -3947, 149, 50, -3.760, 32.870, 00000000, 00000000
0.46004, 34.676, 2029.125, 356.894, 14.377, 4170, -3945, 149, 50, -3.844, 34.424, 00000000, 00000000
0.47566, 36.232, 2027.638, 357.219, 14.390, 4175, -3943, 149, 50, -3.919, 35.978, 00000000, 00000000
0.49127, 37.566, 2026.362, 357.436, 14.401, 4179, -3941, 149, 50, -3.979, 37.311, 00000000, 00000000
0.50703, 39.122, 2024.872, 357.761, 14.414, 4184, -3939, 149, 50, -4.040, 38.865, 00000000, 00000000
0.52265, 40.900, 2023.166, 357.978, 14.428, 4189, -3936, 149, 50, -4.103, 40.643, 00000000, 00000000
0.53825, 42.456, 2021.671, 358.303, 14.440, 4194, -3934, 149, 50, -4.149, 42.198, 00000000, 00000000
0.55388, 44.012, 2020.174, 358.628, 14.452, 4199, -3932, 149, 50, -4.186, 43.753, 00000000, 00000000
0.56949, 45.790, 2018.462, 358.845, 14.466, 4204, -3929, 149, 50, -4.222, 45.531, 00000000, 00000000
0.58511, 47.124, 2017.176, 359.062, 14.476, 4208, -3927, 149, 50, -4.244, 46.865, 00000000, 00000000
0.60081, 48.680, 2015.674, 359.387, 14.488, 4213, -3925, 149, 50, -4.260, 48.421, 00000000, 00000000
0.61634, 50.458, 2013.955, 359.604, 14.501, 4218, -3922, 149, 50, -4.273, 50.199, 00000000, 00000000
0.63220, 52.014, 2012.449, 359.929, 14.512, 4223, -3920, 149, 50, -4.274, 51.755, 00000000, 00000000
0.64757, 53.570, 2010.941, 0.254, 14.523, 4228, -3918, 149, 50, -4.268, 53.311, 00000000, 00000000
0.66343, 55.126, 2009.433, 0.363, 14.533, 4232, -3915, 149, 50, -4.258, 54.867, 00000000, 00000000
0.67889, 56.682, 2007.922, 0.688, 14.544, 4237, -3913, 149, 50, -4.239, 56.423, 00000000, 00000000
0.69454, 58.238, 2006.409, 1.013, 14.554, 4242, -3911, 149, 50, -4.212, 57.978, 00000000, 00000000
0.71041, 60.016, 2004.679, 1.230, 14.566, 4247, -3908, 149, 50, -4.173, 59.756, 00000000, 00000000
0.72585, 61.350, 2003.380, 1.446, 14.575, 4251, -3906, 149, 50, -4.140, 61.089, 00000000, 00000000
0.74166, 62.906, 2001.863, 1.772, 14.585, 4256, -3904, 149, 50, -4.092, 62.645, 00000000, 00000000
0.75701, 64.462, 2000.345, 1.880, 14.595, 4260, -3901, 149, 50, -4.041, 64.200, 00000000, 00000000
0.77287, 66.018, 1998.825, 2.205, 14.604, 4265, -3899, 149, 50, -3.981, 65.755, 00000000, 00000000
0.78831, 67.574, 1997.304, 2.530, 14.613, 4270, -3897, 149, 50, -3.912, 67.309, 00000000, 00000000
0.80386, 69.352, 1995.563, 2.747, 14.624, 4275, -3894, 149, 50, -3.827, 69.085, 00000000, 00000000
0.81971, 70.908, 1994.039, 3.072, 14.633, 4280, -3892, 149, 50, -3.743, 70.639, 00000000, 00000000
