Time Stamp, Total Distance Traveled, Distance to Desired Point, Current Angle, Desired Heading, Left Wheel Encoders, Right Wheel Encoders, Left Wheel Speed, Right Wheel Speed, Y-Position, X-position, Bumper Byte, Light Bumper Byte
0.00001, 0.000, 2061.553, 17.752, 14.036, 4136, -4061, 0, 0, 0.000, 0.000, 00000000, 00000000
0.06139, 0.000, 2061.553, 17.752, 14.036, 4136, -4061, 0, 0, 0.000, 0.000, 00000000, 00000000
0.06797, 0.000, 2061.553, 17.752, 14.036, 4136, -4061, 7, 36, 0.000, 0.000, 00000000, 00000000
0.07436, 0.000, 2061.553, 17.752, 14.036, 4136, -4061, 28, 57, 0.000, 0.000, 00000000, 00000000
0.08851, 0.000, 2061.553, 17.752, 14.036, 4136, -4061, 43, 78, 0.000, 0.000, 00000000, 00000000
0.10442, 0.222, 2061.331, 17.860, 14.036, 4137, -4061, 64, 92, 0.068, 0.212, 00000000, 00000000
0.12020, 0.445, 2061.109, 17.752, 14.035, 4137, -4060, 85, 114, 0.136, 0.423, 00000000, 00000000
0.13577, 1.334, 2060.222, 17.752, 14.034, 4139, -4058, 85, 114, 0.407, 1.270, 00000000, 00000000
0.15139, 2.445, 2059.113, 17.643, 14.032, 4141, -4055, 85, 114, 0.744, 2.329, 00000000, 00000000
0.16701, 3.557, 2058.003, 17.535, 14.030, 4143, -4052, 85, 114, 1.079, 3.389, 00000000, 00000000
0.18263, 5.557, 2056.006, 17.426, 14.027, 4147, -4047, 85, 114, 1.678, 5.298, 00000000, 00000000
0.19826, 7.558, 2054.009, 17.318, 14.023, 4151, -4042, 85, 114, 2.273, 7.208, 00000000, 00000000
0.21393, 9.336, 2052.234, 17.318, 14.021, 4155, -4038, 85, 114, 2.803, 8.905, 00000000, 00000000
0.22947, 11.336, 2050.236, 17.210, 14.018, 4159, -4033, 85, 114, 3.395, 10.816, 00000000, 00000000
0.24517, 13.337, 2048.239, 17.101, 14.015, 4163, -4028, 85, 114, 3.983, 12.728, 00000000, 00000000
0.26072, 15.115, 2046.463, 17.101, 14.012, 4167, -4024, 85, 114, 4.506, 14.428, 00000000, 00000000
0.27659, 16.671, 2044.909, 16.993, 14.010, 4170, -4020, 85, 114, 4.961, 15.916, 00000000, 00000000
0.29205, 18.227, 2043.355, 16.884, 14.007, 4173, -4016, 85, 114, 5.412, 17.405, 00000000, 00000000
0.30763, 20.005, 2041.579, 16.884, 14.005, 4177, -4012, 85, 114, 5.929, 19.106, 00000000, 00000000
0.32329, 21.561, 2040.025, 16.776, 14.003, 4180, -4008, 85, 114, 6.378, 20.596, 00000000, 00000000
0.33903, 23.117, 2038.471, 16.668, 14.001, 4183, -4004, 85, 114, 6.824, 22.087, 00000000, 00000000
0.35466, 24.673, 2036.917, 16.776, 13.999, 4187, -4001, 85, 114, 7.273, 23.577, 00000000, 00000000
0.37031, 26.229, 2035.362, 16.668, 13.997, 4190, -3997, 85, 114, 7.720, 25.067, 00000000, 00000000
0.38592, 27.785, 2033.808, 16.559, 13.995, 4193, -3993, 85, 114, 8.163, 26.559, 00000000, 00000000
0.40134, 29.786, 2031.809, 16.451, 13.992, 4197, -3988, 85, 114, 8.730, 28.477, 00000000, 00000000
0.41711, 31.342, 2030.254, 16.343, 13.990, 4200, -3984, 85, 114, 9.168, 29.970, 00000000, 00000000
0.43273, 32.898, 2028.700, 16.234, 13.989, 4203, -3980, 85, 114, 9.603, 31.464, 00000000, 00000000
0.44819, 34.454, 2027.145, 16.126, 13.987, 4206, -3976, 85, 114, 10.035, 32.959, 00000000, 00000000
0.46397, 36.454, 2025.146, 16.017, 13.985, 4210, -3971, 85, 114, 10.587, 34.882, 00000000, 00000000
0.47942, 38.010, 2023.590, 15.909, 13.984, 4213, -3967, 85, 114, 11.013, 36.378, 00000000, 00000000
