Time Stamp, Total Distance Traveled, Distance to Desired Point, Current Angle, Desired Heading, Left Wheel Encoders, Right Wheel Encoders, Left Wheel Speed, Right Wheel Speed, Y-Position, X-position, Bumper Byte, Light Bumper Byte
0.00000, 0.000, 1118.034, 175.770, 63.435, 3887, -4027, 0, 0, 0.000, 0.000, 00000000, 00000000
0.06880, 0.000, 1118.034, 175.770, 63.435, 3887, -4027, 0, 0, 0.000, 0.000, 00000000, 00000000
0.07652, 0.000, 1118.034, 175.770, 63.435, 3887, -4027, 0, 28, 0.000, 0.000, 00000000, 00000000
0.08906, 0.000, 1118.034, 175.770, 63.435, 3887, -4027, 0, 57, 0.000, 0.000, 00000000, 00000000
0.10517, 0.000, 1118.034, 175.770, 63.435, 3887, -4027, 0, 92, 0.000, 0.000, 00000000, 00000000
0.12079, 0.222, 1118.118, 175.662, 63.424, 3887, -4026, 0, 121, 0.017, -0.222, 00000000, 00000000
0.13640, 0.445, 1118.202, 175.553, 63.414, 3887, -4025, 0, 149, 0.034, -0.443, 00000000, 00000000
0.15201, 0.889, 1118.368, 175.337, 63.393, 3887, -4023, 0, 178, 0.070, -0.886, 00000000, 00000000
0.16763, 1.556, 1118.614, 175.011, 63.361, 3887, -4020, 0, 199, 0.128, -1.551, 00000000, 00000000
0.18340, 2.445, 1118.936, 174.578, 63.319, 3887, -4016, 0, 199, 0.212, -2.436, 00000000, 00000000
0.19901, 3.779, 1119.406, 173.927, 63.255, 3887, -4010, 0, 199, 0.353, -3.762, 00000000, 00000000
0.21463, 5.557, 1120.010, 173.060, 63.169, 3887, -4002, 0, 199, 0.568, -5.527, 00000000, 00000000
0.23024, 7.113, 1120.521, 172.302, 63.094, 3887, -3995, 0, 199, 0.777, -7.069, 00000000, 00000000
0.24585, 8.891, 1121.082, 171.434, 63.008, 3887, -3987, 0, 199, 1.041, -8.828, 00000000, 00000000
0.26146, 10.670, 1121.619, 170.567, 62.921, 3887, -3979, 0, 199, 1.333, -10.582, 00000000, 00000000
0.27709, 12.448, 1122.134, 169.700, 62.834, 3887, -3971, 0, 199, 1.651, -12.331, 00000000, 00000000
0.29279, 14.004, 1122.567, 168.941, 62.758, 3887, -3964, 0, 199, 1.949, -13.859, 00000000, 00000000
0.30832, 15.560, 1122.981, 168.183, 62.681, 3887, -3957, 0, 199, 2.268, -15.382, 00000000, 00000000
0.32402, 17.116, 1123.378, 167.424, 62.604, 3887, -3950, 0, 199, 2.607, -16.900, 00000000, 00000000
